"Vitesse","Group1","Group2","Variable","W_value","p_value","Correlation"
60,"marker","markerless","Moyenne des colonnes",0.0655085403726616,0.797992254660192,0.982499855755747
60,"marker","IMU_X","Moyenne des colonnes",0.294421583850863,0.587400908604845,0.978059838519939
60,"marker","IMU_O","Moyenne des colonnes",0.0901863354037573,0.76394040229278,0.971968402252243
80,"marker","markerless","Moyenne des colonnes",0.433800465838544,0.510129985632958,0.982551212902466
80,"marker","IMU_X","Moyenne des colonnes",0.676409161490653,0.410825965589451,0.978805669448218
80,"marker","IMU_O","Moyenne des colonnes",0.00094332298141353,0.975497974176236,0.966212523634872
100,"marker","markerless","Moyenne des colonnes",0.616071428571445,0.432510925143682,0.980743320585979
100,"marker","IMU_X","Moyenne des colonnes",0.926133540372689,0.335869641712981,0.973334511417227
100,"marker","IMU_O","Moyenne des colonnes",0.0492041925465969,0.824453868894967,0.965782789099714
