;Sujet;Mouvement;L Moy Cuisse Gauche;Amplitude de variation Cuisse Gauche;L Moy Cuisse Droite;Amplitude de variation Cuisse Droite;L Moy Jambe Gauche;Amplitude de variation Jambe Gauche;L Moy Jambe Droite;Amplitude de variation Jambe Droite
57;Sujet_05;Sujet_05_Tpose_nomarkerspose_filt_0.c3d;38.16;1.6e-05;38.14;1.7e-05;39.9;9E-06;40.27;9E-06
58;Sujet_05;Sujet_05_velo_100pose_filt_0.c3d;40.98;2.1e-05;39.58;2.2e-05;38.28;1.9e-05;37.76;1.7e-05
59;Sujet_05;Sujet_05_velo_100_nomarkerspose_filt_0.c3d;40.19;2.3e-05;39.06;2E-05;39.04;1.8e-05;38.8;1.7e-05
60;Sujet_05;Sujet_05_velo_60pose_filt_0.c3d;41.54;2.1e-05;40.48;2.1e-05;38.19;1.7e-05;37.86;1.9e-05
61;Sujet_05;Sujet_05_velo_60_nomarkerspose_filt_0.c3d;40.07;2.1e-05;39.53;2.1e-05;38.66;1.6e-05;38.91;1.8e-05
62;Sujet_05;Sujet_05_velo_80pose_filt_0.c3d;41.12;2.2e-05;40.04;2.4e-05;38.31;1.7e-05;37.83;1.7e-05
63;Sujet_05;Sujet_05_velo_80_nomarkerspose_filt_0.c3d;40.09;1.8e-05;39.28;1.9e-05;38.89;1.8e-05;38.77;1.9e-05
64;Sujet_06;Sujet_06_marche01pose_filt_0.c3d;41.88;2.1e-05;41.95;2.2e-05;39.32;3.9e-05;39.5;2.1e-05
65;Sujet_06;Sujet_06_marche01_nomarkerspose_filt_0.c3d;37.22;1.7e-05;37.02;3E-05;38.86;4.1e-05;39.13;2.4e-05
66;Sujet_06;Sujet_06_marche02pose_filt_0.c3d;41.81;1.9e-05;41.51;2.2e-05;39.71;3E-05;39.8;2.2e-05
67;Sujet_06;Sujet_06_marche02_nomarkerspose_filt_0.c3d;37.3;1.9e-05;37.13;2.8e-05;38.79;3.8e-05;39.53;2.9e-05
68;Sujet_06;Sujet_06_Nposepose_filt_0.c3d;41.64;1.4e-05;41.37;1.4e-05;39.34;6E-06;39.79;6E-06
69;Sujet_06;Sujet_06_Npose_nomarkerspose_filt_0.c3d;36.66;1.3e-05;37.33;1.2e-05;39.4;6E-06;38.79;6E-06
70;Sujet_06;Sujet_06_Tposepose_filt_0.c3d;42.15;1.4e-05;42.33;1.3e-05;39.54;6E-06;38.89;6E-06
71;Sujet_06;Sujet_06_Tpose_nomarkerspose_filt_0.c3d;39.21;1.4e-05;39.44;1.4e-05;39.88;7E-06;39.4;6E-06
72;Sujet_06;Sujet_06_velo_100pose_filt_0.c3d;42.08;2.1e-05;41.85;2.1e-05;38.52;1.7e-05;38.39;1.7e-05
73;Sujet_06;Sujet_06_velo_100_nomarkerspose_filt_0.c3d;40.71;2E-05;40.78;2.1e-05;39.14;1.7e-05;39.43;1.7e-05
74;Sujet_06;Sujet_06_velo_60pose_filt_0.c3d;41.81;2E-05;42.47;2.2e-05;38.68;1.7e-05;38.3;1.7e-05
75;Sujet_06;Sujet_06_velo_60_nomarkerspose_filt_0.c3d;40.7;1.9e-05;40.58;2E-05;38.82;1.7e-05;39.25;1.8e-05
76;Sujet_06;Sujet_06_velo_80pose_filt_0.c3d;41.83;2.1e-05;42.33;2E-05;38.66;1.8e-05;38.41;1.7e-05
77;Sujet_06;Sujet_06_velo_80_nomarkerspose_filt_0.c3d;40.81;2E-05;40.53;2E-05;38.93;1.7e-05;39.46;1.7e-05
78;Sujet_07;Sujet_07_marche01pose_filt_0.c3d;45.39;2.5e-05;45.41;2.6e-05;44.54;4.1e-05;44.41;2.5e-05
79;Sujet_07;Sujet_07_marche01_nomarkerspose_filt_0.c3d;43.2;2.4e-05;43.0;3.1e-05;44.09;3.8e-05;44.01;2.3e-05
80;Sujet_07;Sujet_07_marche02pose_filt_0.c3d;45.38;3E-05;45.47;2E-05;44.69;2.5e-05;44.21;3.8e-05
