Articulation,Vitesse velo,Sujet,Amplitude 1,Amplitude 2,Amplitude 3,Amplitude 4,Amplitude 5,Amplitude 6,Amplitude 7,Amplitude 8,Amplitude 9,Amplitude 10
knee_flexion_r,60,Sujet_06,76.63078293999999,78.23487964,80.3769489,80.38116352,78.89084461,78.75152912,77.60488247,78.06846949,79.50724170000001,77.81799673
knee_flexion_r,60,Sujet_01,82.66845154,84.94898049,84.08842655000001,83.10441935,82.20613534,83.1916185,82.50128099,84.68285474000001,84.47530541,84.51844437
knee_flexion_r,60,Sujet_08,81.14004908999999,80.94069952999999,82.37622060000001,78.54992939,78.82273278,77.62491046,78.87814385,78.78248644000001,78.82150643,77.96088253
knee_flexion_r,60,Sujet_07,78.01601648,79.98558214,78.21738597000001,76.24540146,78.23449045999999,77.10906309999999,77.20075877,76.53068816999999,77.80944005,76.74540067
knee_flexion_r,60,Sujet_02,69.07829816,67.93586901,67.60393676000001,67.70493067000001,67.47846863000001,68.48091186,67.88519786,69.33068180000001,69.40268611,69.40594042000001
knee_flexion_r,60,Sujet_05,84.79350473,81.92107102,83.44784858999999,79.05036691000001,82.82695596,81.72049295,81.75069577000001,80.99622052000001,83.82302762,81.46100622
knee_flexion_r,60,Sujet_04,72.52100168,71.65621689000001,71.39684896,74.43484803999999,72.5676795,72.70372402999999,70.39673685,71.89643291,69.4574647,71.31400106000001
knee_flexion_r,60,Sujet_03,70.00193941,70.19875577,70.04548245000001,69.43305892,69.65495845,70.86175519,71.37364652,69.59074177,70.61201334999998,70.71382775000001
knee_flexion_r,80,Sujet_06,78.15622400000001,77.30942293999999,76.85705795999999,77.53649424,76.62024234,78.98849615,77.50298094000001,76.03170022999998,79.29754056,75.68061892
knee_flexion_r,80,Sujet_01,83.81881644,80.68307188,82.68112743,82.28773588,83.72531247999999,82.41007394,82.80612814,82.104577,82.45323375999999,81.26509733
knee_flexion_r,80,Sujet_08,76.1063623,77.04442676,76.96141854,76.35381165000001,79.30500944,79.79667867,80.06711921,81.09999764,77.59440327,77.93477378
knee_flexion_r,80,Sujet_07,75.66917195,75.56759388,76.57062422999999,76.24371593000001,77.76840758,78.83383434999999,77.36631426,79.04866720999999,78.15727352,78.3664695
knee_flexion_r,80,Sujet_02,71.93416204,70.58166837,69.79975984999999,69.39076718999999,69.81196972999999,70.15310577,70.09114111,69.80699706,69.56985167,69.4367037
knee_flexion_r,80,Sujet_05,82.18160313000001,82.16712564,81.11916887999999,80.18491191,77.65697691,80.93393914,79.55933453,80.69825825000001,82.44999399,82.63621588999999
knee_flexion_r,80,Sujet_04,73.13198185,69.3861868,72.22882462999999,70.85298419,73.27697368,70.74414411999999,69.77968528,68.6944738,70.82052347999999,69.35599493999999
knee_flexion_r,80,Sujet_03,70.67339802000001,70.67487964,71.16653726999999,70.31140020000001,69.56917371,68.69152746,69.31869324,69.75445011,69.43722156,74.33253951
knee_flexion_r,100,Sujet_06,74.91916666,74.26577806,74.97847386000001,73.46479563,75.57887194,74.68969021999999,76.32023032000001,74.87314792000001,73.39766079,74.82401286999999
knee_flexion_r,100,Sujet_01,83.62427840999999,84.57335810000001,84.39074606,80.58077424,83.38203768,84.48052704,85.57831335,86.88204801,85.66407275,86.8101088
knee_flexion_r,100,Sujet_08,80.93435909,81.41836939,81.24649373,80.87680254,77.00148885,77.40156575,78.80734785,77.86358931000001,76.31461141,77.01489258
knee_flexion_r,100,Sujet_07,77.96550325,75.63715816,77.23256099,76.67129003,78.08864538,77.02086472,76.14901552,76.31174607999999,77.64159395,75.61196345
knee_flexion_r,100,Sujet_02,70.02592754,69.959546,69.16141818,69.75160517,70.9607865,69.35015145,69.61675289,69.71636783,70.13560218,71.15725878
knee_flexion_r,100,Sujet_05,81.01688333999999,80.83882862,81.15876692,81.6765989,80.87936014,81.29713033,80.97971512000001,81.52907912,82.77915555999999,80.78173414
knee_flexion_r,100,Sujet_04,71.56544316,70.85445235,70.74964703,68.72444576,69.97913684,71.11859323,71.54468876000001,70.37491811,69.3068988,69.64670811
knee_flexion_r,100,Sujet_03,72.35429317,70.66980297,70.3115876,69.58354047,69.13536260000001,70.48244943,69.35719756,69.53408208,70.54884376,70.63652452
knee_flexion_l,60,Sujet_06,79.13319805,78.35996220000001,79.44914513,79.50788707,82.56744572,79.40464502999998,79.63907189,79.0582648,78.24056042000001,78.09352888000001
knee_flexion_l,60,Sujet_01,83.63453100000001,82.61892347999999,83.55923632,81.50644614000001,82.96449353,84.91303213,82.37474828,83.56869245,82.7204113,84.77793796
knee_flexion_l,60,Sujet_08,79.54391843,78.98103417,78.19290379,77.82631023,77.66868766,76.10463178,76.82585140999998,77.04650692999999,78.62730085000001,81.11253371999999
knee_flexion_l,60,Sujet_07,76.69130268,75.96962496,75.37410922000001,74.64767897,74.46051886999999,73.69124296000001,75.9212669,77.07613415,75.45890324999999,74.96824365
knee_flexion_l,60,Sujet_02,70.19475027,70.71157699,70.49955039,70.81697406999999,70.61029475000001,71.04114365,70.70255356000001,70.81593093000001,70.50149184,70.44201241
knee_flexion_l,60,Sujet_05,81.09814157,81.56312307,80.22286794,82.99344073,83.26034323,82.12367934000001,81.60533251,82.21649198,82.52583659,82.45608366
knee_flexion_l,60,Sujet_04,72.19579218000001,72.80061991,73.0490126,72.77632134999999,72.78653174,72.06326444999999,71.44583492999999,71.57272955,71.88802903999999,71.09355876999999
knee_flexion_l,60,Sujet_03,70.10144294,71.28647333,70.5435142,71.073207,71.25298040999999,71.38820254999999,71.27030791,70.4945868,70.26016006,69.24547553
knee_flexion_l,80,Sujet_06,81.61245681,80.01598530999999,78.52924055,77.69619277,78.49144286999999,79.18498205,79.11119234,79.77076962000001,79.56299885,78.12602206
knee_flexion_l,80,Sujet_01,84.85149835000001,85.81970471,82.06954926,84.25631324,84.03820983,82.86427801,81.20829507,81.26116667,83.27793316,85.77695539999999
knee_flexion_l,80,Sujet_08,76.95218143,76.77521469000001,77.55989493,76.61202402,78.60784050000001,79.72189108,80.16702935,79.32343073,80.17558117,79.24975117
