Articulation,Vitesse velo,Sujet,Amplitude 1,Amplitude 2,Amplitude 3,Amplitude 4,Amplitude 5,Amplitude 6,Amplitude 7,Amplitude 8,Amplitude 9,Amplitude 10
knee_flexion_r,60,Sujet_06,77.86146214000001,74.75077139999999,75.81648482,75.15247721,79.4360197,74.69284839000001,75.54894359,73.61202649,74.19070103,74.55092065
knee_flexion_r,60,Sujet_01,77.13057362,74.42308381000001,70.15966835,73.07124568,72.02642155999999,75.02027953999999,73.50474206000001,70.65410127,72.62187402,73.81358158
knee_flexion_r,60,Sujet_08,80.59121404999999,79.53672216000001,79.82001916,76.29438769000001,79.2961948,79.12724335,78.81265782,81.87314463,80.15079472,81.42093288
knee_flexion_r,60,Sujet_07,77.06887659,78.03411785,79.45232041,77.83493716,76.59262002,73.66772732,77.36074403,78.25291035000001,82.93375085,80.59503104
knee_flexion_r,60,Sujet_02,66.99989565000001,67.28260738,67.35101392,66.03582762,67.22945161999999,66.68634971,65.29342706,66.54309194000001,65.41739859,65.50583443000001
knee_flexion_r,60,Sujet_05,70.6512162,71.25825892,70.59627757,70.75599727,69.40408328,69.14782891000002,69.64755364,70.19753605,72.19960866000001,70.73829242
knee_flexion_r,60,Sujet_04,68.92382154,67.61577153,69.62946208,69.93735276999999,68.53545113,69.51476386,68.44843669,70.00737242,71.30468583000001,71.79182768000001
knee_flexion_r,60,Sujet_03,66.82188848000001,64.92462435,66.12321147,66.22609406999999,66.75782537,68.44847012,66.32482256,65.71513317,67.16949948,65.36568435999999
knee_flexion_r,80,Sujet_06,72.51288752,72.15446984,74.14646862,74.47170777,73.23751373,74.04901849999999,72.15469150999999,73.92900807,73.37558926,73.55112915999999
knee_flexion_r,80,Sujet_01,73.87441382,75.32712752,72.60508726,75.13144241,71.11608842999999,71.45371468,72.82718323,72.12862468,74.95488566,72.99176106
knee_flexion_r,80,Sujet_08,79.65334583,78.77255361,79.5603693,79.41608212,76.75114914000001,78.01664703,76.19909859999999,79.41213712999999,78.907567,79.0965249
knee_flexion_r,80,Sujet_07,76.04045041,79.90533095,77.47777387,78.67200853,77.61728649,76.37581522,71.68084877000001,75.4239474,75.64819109000001,73.34264496
knee_flexion_r,80,Sujet_02,68.04394525000001,66.58910552999998,67.04003178,67.39704035,69.08766731,68.74345724,68.74632074000002,69.18749761000001,67.8648507,67.21309719
knee_flexion_r,80,Sujet_05,70.53595052,68.50977613,69.71064239,70.44265261,71.30822963,70.9807815,70.88438024,72.46559448000001,73.30703578,71.36208955
knee_flexion_r,80,Sujet_04,68.72225510999999,68.81150764,69.40274254,68.86100678,68.66786796,69.50729406,70.03826286,69.24662604,68.75116091,69.01614153999999
knee_flexion_r,80,Sujet_03,64.99240896,65.52080434999999,65.09264345,65.23425885,66.41788197,65.90397738000001,66.35485021,64.48510045,64.44140153999999,64.15796776
knee_flexion_r,100,Sujet_06,70.79367457000001,70.51556421000001,71.03523135,70.15787927,71.16332471999999,69.09264672,68.62490152,66.97222231999999,70.42132427,71.09988723
knee_flexion_r,100,Sujet_01,71.36158175999999,72.19375986,71.03090011,71.2522937,70.50094493,71.00996465,71.65259304,73.3535258,70.78777516,71.20044336
knee_flexion_r,100,Sujet_08,72.18934156,74.38513393,74.36548875,72.16270398,71.61017795000001,73.02987304000001,74.09773691000001,74.05015303,74.0784749,74.43414956
knee_flexion_r,100,Sujet_07,76.22358738,73.93472519,76.34855774,79.50639123,78.01117625999998,74.61026679,74.58852113,75.2984836,73.1026173,72.91355132
knee_flexion_r,100,Sujet_02,70.78730873,69.39651635,68.36605011,69.09295032,69.60971964000001,69.88982727999999,69.61253998000001,70.69710628,68.01003778,69.32739851
knee_flexion_r,100,Sujet_05,69.82371776,71.33012812999999,69.40948305,69.47192472,71.52428455,70.69079939,71.70690702,70.06527618,72.27304953,70.74636348
knee_flexion_r,100,Sujet_04,70.29995901999999,70.10532826000001,70.11090873,69.1506556,69.32943839,69.94570613,69.32725782,69.09448808,68.96311627,68.41765022999999
knee_flexion_r,100,Sujet_03,67.47633411999999,67.91421115,67.8816045,68.09619049,68.17885528,67.37962114,68.03749137,65.57028288000001,69.00235286,68.91912309
knee_flexion_l,60,Sujet_06,72.03856715999999,71.76581476,74.10420413,73.0297802,73.02645497,70.83378837000001,71.64029846,70.98142575,69.54909961,71.17524298000001
knee_flexion_l,60,Sujet_01,75.14403561,73.35742581,74.13297093,73.79009972,75.68149439999999,75.54882343999999,75.30343413,76.61394651,77.64167558,76.93329544
knee_flexion_l,60,Sujet_08,73.32121834,71.60274953999999,72.61087669,73.23730761,73.71920777,72.88137994,74.19835364000001,72.78615006999999,72.56700195,73.26709683
knee_flexion_l,60,Sujet_07,73.38928433000001,72.48179948999999,72.59938331000001,80.36424724000001,79.75498115,73.84227465999999,71.48122061999999,73.85936144,73.82524235,71.00576132
knee_flexion_l,60,Sujet_02,65.15621293999999,65.98502348,65.64053466,63.95298981,63.626787650000004,63.2659815,63.05749088,63.69897221,63.583957160000004,63.957036269999996
knee_flexion_l,60,Sujet_05,65.85984206,66.61479069,67.19426823,67.40320627,68.73836473,67.48359789,67.13413297,66.54257266,66.45735807,67.36543182
knee_flexion_l,60,Sujet_04,67.93061383,67.66115352,68.06470209,67.78598205,67.6794873,67.12173896,66.6984004,67.84532949000001,67.23019602,67.55141757
knee_flexion_l,60,Sujet_03,68.83986680000001,67.29637703,68.3417309,68.44905276,68.54127583,67.95255950999999,68.39464163,69.49177694000001,69.34407196,67.98742263999999
knee_flexion_l,80,Sujet_06,71.93644760000001,71.91417064000001,70.88220479,70.37809419999999,69.91849998999999,70.1033899,69.37578712,70.429312,71.78818869,70.15905725
knee_flexion_l,80,Sujet_01,74.474832,73.46780436,72.24001193,71.80422198,74.44093737,74.06799186,74.31722577,73.86331272999999,71.90952472,71.66241158
knee_flexion_l,80,Sujet_08,74.71937993,72.33943934000001,73.49186291999999,73.75344996000001,73.18838871999999,72.35561401,72.24155296999999,73.03531909,72.05773731,72.67138603999999
knee_flexion_l,80,Sujet_07,71.85962369,71.88910032999999,72.13236114,72.53256898999999,72.41209415,70.93708861,69.53786047,70.58749019,69.0952163,69.88210412000001
knee_flexion_l,80,Sujet_02,64.85267433,65.21776308,64.27593350000001,63.67261487,65.33293667000001,64.59596048,65.66829795000001,64.57676760999999,64.38614012,64.2650611
knee_flexion_l,80,Sujet_05,66.52711674,67.80783184,68.19512235,67.12422029,65.42672184,64.99423836,65.92720587,65.87741154,67.22142264000001,68.23518757000001
knee_flexion_l,80,Sujet_04,67.05867112,66.25213644,66.29149098,66.19104673,65.73633287000001,66.57232425000001,66.48674489999999,66.31625032,67.87144146,67.59145299000001
knee_flexion_l,80,Sujet_03,69.26787060000001,70.25965876000001,69.06946414000001,71.27724323999999,70.86874616,71.36051909,71.48701129,68.64939516999999,68.38833341,67.66608389999999
knee_flexion_l,100,Sujet_06,70.7406572,70.00812661,70.09693129,68.9750831,70.10390816,70.0354349,70.77921236,70.08469461,68.95108543,69.97740175
knee_flexion_l,100,Sujet_01,72.21585773000001,73.3304411,73.26185043000001,72.60386056,74.19709495999999,73.86591995,72.2651085,73.16971402,72.669718,75.05082171999999
knee_flexion_l,100,Sujet_08,70.66086432,71.95526539,70.48421295,69.86596518,71.66040717,71.11003742,70.58704610000001,70.19357366,72.91863843,72.25941797
knee_flexion_l,100,Sujet_07,76.77699645,73.34916473999999,69.68100413,70.95153979,71.69643088,72.78109043999999,70.85382213,70.36079112000002,72.07269747000001,71.23024948
knee_flexion_l,100,Sujet_02,67.97614465,68.02499263000001,67.28378053,67.36714543,67.96927337,67.28397817000001,66.92607034,66.83919092000001,66.08994926999999,68.40464642
knee_flexion_l,100,Sujet_05,66.44486575,65.17146231999999,66.07133265,67.01961792,66.45859549,64.96181659,65.34853731999999,65.77250757,65.26322187,66.45939884
knee_flexion_l,100,Sujet_04,67.43192035000001,67.46769148999999,66.69896787,66.10412257,66.55267992,68.38769213,67.77132997000001,66.93356723,67.79319614,66.99921479
knee_flexion_l,100,Sujet_03,65.76005458,65.45057435000001,67.11601297000001,66.63199019000001,65.84812767,67.58029916999999,67.81580097,67.38580917,66.58292696000001,68.98771091
hip_flexion_r,60,Sujet_06,44.27497425999999,44.020959129999994,44.06695850999999,44.21949133999999,46.16316714,43.17516961,45.15125153999999,43.69260362,43.063152470000006,43.02695622
hip_flexion_r,60,Sujet_01,44.688298489999994,44.62477244,41.47190259,43.76014699000001,44.06309485,43.411721009999994,42.81466062,40.99219806000001,41.48649096999999,41.48894813
hip_flexion_r,60,Sujet_08,47.67182391,46.83882962,46.48680355000002,45.41142012,46.24468542000001,46.1656325,46.5616227,48.55759137,47.27654145000001,47.51546298999999
hip_flexion_r,60,Sujet_07,39.269295330000006,39.69788967000001,40.367232630000004,38.593959049999995,38.93869391000001,37.77060435999999,38.165327489999996,39.27883623999999,42.67596076999999,38.17409734
